"Association","Position","Source",,
"California Fig Advisory Board ",,,,
"American Mushroom Institute",,,,
"Mushroom Farms of Pennsylvania",,,,
"American Nursery and Landscape Association",,,,
"California Cut Flower Commission",,,,
"Flower Growers of Puget Sound",,,,
"Floral Trade Council",,,,
"Leaf Tobacco Exporters Council",,,,
"US Tobacco Cooperative",,,,
"North Carolina Cotton Producers Association",,,,
"American Sugar Alliance ","Oppose","USITC1","ASA",
"Florida Sugar Cane League, Inc.",,,,
"National Grain and Feed Association","Favor","AGF1","CMAC2",
"U.S. Beet Sugar Association ","Oppose","ASA",,
"California Beet Growers Association, Ltd.","Oppose","ASA",,
"American Peanut Council",,,,
"American Peanut Shellers Association",,,,
"American Peanut Product Manufacturers, Inc.","Favor","CMAC2",,
"National Cattleman's Beef Association","Favor","BCUSCAT","NCBA","AGF1/USTR1/CMAC2"
"Ranchers-Cattlemen Action Legal Fund",,,,
"Independent Cattlemen Of Wyoming",,,,
"Independent Cattlemen of Nebraska (ICON)",,,,
"Independent Cattlemen of Texas",,,,
"Kansas Cattlemen",,,,
"Montana Cattlemen's Association",,,,
"Nevada Livestock Association",,,,
"South Dakota Stockgrowers Association",,,,
"American Meat Institute","Favor","BCUSCAT","AGF1","CMAC2"
"National Meat Association",,,,
"US Meat Export Federation",,,,
"Cattle Producers of Washington",,,,
"Kansas Cattlemen?s Association",,,,
"American Dairy Products Institute ",,,,
"International Dairy Foods Association","Favor","BCUSCAT","CMAC2",
"National Milk Producers Federation","Favor","BCUSCAT","NMPF","AGF1"
"Land O'Lakes",,,,
"Northwest Dairy Association",,,,
"U.S. Dairy Export Council","Favor","BCUSCAT","AGF1","USTR1"
"Alliance of Western Milk Producers ",,,,
"Dairy Farmers of America ",,,,
"Southeast Dairy Farmers Association",,,,
"California Dairy Campaign",,,,
"Farm And Ranch Freedom Alliance",,,,
"National Pork Producers Council","Favor","BCUSCAT","NPPC","AGF1/USTR1/CMAC2"
"USA Poultry and Egg Export Council","Favor","BCUSCAT","AGF1","USTR1"
"United Egg Association ","Favor","AGF1",,
"United Egg Producers ","Favor","AGF1",,
"American Association of Meat Processors",,,,
"U.S. Poultry and Egg Council",,,,
"National Chicken Council ","Favor","BCUSCAT","AGF1","USTR1"
"National Turkey Federation ","Favor","USTR1",,
"American Sheep Industry Association",,,,
"American Dairy Goat Association",,,,
"American Meat Goat Association ",,,,
"American Beekeeping Federation",,,,
"Western Apicultural Society",,,,
"Fur Commission USA",,,,
"Fur Information Council of America",,,,
"U.S. Oil and Gas Association",,,,
"American Petroleum Institute","Favor","BCUSCAT","API",
"National Mining Association",,,,
"West Virgina Coal Association",,,,
"Virginia Mining Association",,,,
"Bituminous Coal Operators Association",,,,
"Iron Mining Association of Minnesota",,,,
"Northwest Mining Association",,,,
"National Stone, Sand & Gravel Association ",,,,
"National Building Grantie Quarries Association",,,,
"Arizona Rock Products Association ",,,,
"Florida Limerock & Aggregate Institute ",,,,
"Missouri Limestone Producers Association ",,,,
"Industrial Minerals Association ? North America ",,,,
"Mineral Wool Insulation Manufacturers Association ",,,,
"Georgia Mining Associaiton",,,,
"Pet Food Institute","Favor","BCUSCAT","AGF1","USTR1/CMAC2"
"World Pet Association",,,,
"American Feed Industry Association","Favor","AGF1",,
"North American Millers' Association",,,,
"Rice Millers' Association",,,,
"Corn Refiners Association","Favor","CRA","AGF1","CMAC2"
"National Confectioners Association of the U.S.","Favor","BCUSCAT","AGF1","CMAC2"
"Western Candy Conference",,,,
"American Frozen Food Institute ","Favor","AGF1",,
"National Frozen Pizza Institute",,,,
"Grocery Manufacturers Association","Favor","BCUSCAT","GMA","AGF1/CMAC2"
"Institute of Shortening and Edible Oils",,,,
"National Association for the Specialty Food Trade ",,,,
"California Association of Winegrape Growers",,,,
"Canned Food Alliance",,,,
"American Fruit and Vegetable Processors and Growers Coalition",,,,
"Sunmaid Growers of California ",,,,
"Sunsweet Growers Inc. ",,,,
"American Dehydrated Onion and Garlic Association","Oppose","USITC1",,
"Seafood Products Association",,,,
"Crawfish Processors' Alliance",,,,
"Fair Atlantic Salmon Trade",,,,
"Southern Shrimp Alliance",,,,
"National Fisheries Institute",,,,
"Pacific Seafood Processors Association ",,,,
"West Coast?Seafood Processors Association",,,,
"At-sea Processors Association",,,,
"American Bakers Association",,,,
"Independent Bakers Association",,,,
"Biscuit and Cracker Manufacturers Association",,,,
"Snack Food Association","Favor","BCUSCAT",,
"National Pasta Association",,,,
"Tortilla Industry Association",,,,
"Peanut and Treenut Processors Association",,,,
"National Coffee Association of U.S.A.","Favor","BCUSCAT",,
"Specialty Coffee Association of America ",,,,
"Tea Association of the U.S.A.",,,,
"Juice Products Association",,,,
"American Beverage Association",,,,
"International Bottled Water Association",,,,
"The Beer Institute",,,,
"The Wine Institute",,,,
"Distilled Spirits Council of the United States ","Favor","BCUSCAT","DSC","AGF1/USTR1/CMAC2"
"Cigar Association of America",,,,
"Specialty Tobacco Council",,,,
"National Council of Textile Organizations","Favor","USITC1","BCUSCAT","NCTO"
"National Textile Association",,,,
"United States Industrial Fabrics Institute",,,,
"American Manufacturing Trade Action Coalition ","Oppose","AMTAC",,
"American Apparel and Footwear Association","Favor","BCUSCAT","USHMC2","CMAC2"
"American Fiber Manufacturers Association",,,,
"The Schiffli Lace and Embroidery Manufacturers? ",,,,
"Association of the Nonwoven Fabrics Industry",,,,
"Chemical Fabrics and Films Association",,,,
"National Cotton Council","Favor","BCUSCAT",,
"Synthetic Yarn and Fiber Association",,,,
"Carpet and Rug Institute",,,,
"World Floor Covering Association",,,,
"Home Fashion Products Association",,,,
"Textile Bag and Packaging Association",,,,
"Industrial Fabrics Association International",,,,
"The Cordage Institute",,,,
"Canvas Products Association",,,,
"The Hosiery Association",,,,
"National Fashion Accessories Association",,,,
"Fashion Jewelry and Accessories Trade Association",,,,
"Leather Industries of America",,,,
"North American Association of Uniform Manufacturers",,,,
"Outdoor Industry Association",,,,
"United States Hide, Skin and Leather Association",,,,
"Rubber and Plastic Footwear Manufacturers Association",,,,
"Travel Goods Association","Favor","BCUSCAT","TGA","USTR1/CMAC2/USITC1"
"Southeastern Lumber Manufacturers Association",,,,
"Western Wood Products Association",,,,
"Southern Forest Products Association",,,,
"American Hardwood Export Council",,,,
"Western Hardwood Association",,,,
"American Walnut Manufacturers Association",,,,
"Hardwood Federation",,,,
"International Wood Products Association",,,,
"APA Engineered Wood Association",,,,
"Wood Product Manufacturers Association",,,,
"US Lumber Coalition",,,,
"Fair Lumber Coalition",,,,
"Coalition for Fair Lumber Imports",,,,
"Softwood Export Council",,,,
"American Softwoods",,,,
"Railway Tie Association",,,,
"Treated Wood Council",,,,
"Western Wood Preservers Institute",,,,
"Hardwood Plywood and Veneer Association ",,,,
"American Forest and Paper Association",,,,
"Paperboard Packaging Council",,,,
"Foodservice Packaging Institute",,,,
"Paper Shipping Sack Manufacturers' Association",,,,
"Business Solutions Association",,,,
"Envelope Manufacturers Association",,,,
"Composite Lumber Manufacturers Association",,,,
"Window and Door Manufacturers Association",,,,
"Architectural Woodwork Institute",,,,
"Wood Moulding and Millwork Producers Association",,,,
"National Wood Pallet and Container Association",,,,
"Manufactured Housing Institute",,,,
"Fibre Box Association",,,,
"Association of Independent Corrugated Converters",,,,
"Manufacturers Representatives of America",,,,
"National Petrochemical and Refiners Association",,,,
"Western States Petroleum Association",,,,
"Independent Petroleum Institute of America",,,,
"Asphalt Institute",,,,
"National Asphalt Pavement Association",,,,
"Asphalt Roofing Manufacturers Association",,,,
"National Lubricating Grease Institute",,,,
"Independent Lubricant Manufacturers Association",,,,
"American Chemistry Council","Favor","BCUSCAT",,
"Society of Chemical Manufacturers and Affiliates",,,,
"American Coke and Coal Chemicals Institute",,,,
"American Fuel and Petrochemical Manufacturers",,,,
"Color Pigment Manufacturers Association",,,,
"Chlorine Institute",,,,
"International Carbon Black Association",,,,
"Renewable Fuels Association",,,,
"Growth Energy",,,,
"Pine Chemicals Association",,,,
"Methanol Institute",,,,
"Society of the Plastics Industry",,,,
"Western Plastics Association",,,,
"PET Resin Association",,,,
"Methacrylate Producers Association ",,,,
"Basic Acrylic Monomer Manufacturers",,,,
"EPS Industry Alliance",,,,
"International Institute of Synthetic Rubber Producers",,,,
"Fertilizer Institute","Favor","BCUSCAT","AGF1",
"Chemical Producers and Distributors Association",,,,
"CropLife America","Favor","AGF1",,
"Generic Pharmaceutical Association",,,,
"Consumer Healthcare Products Association",,,,
"Biotechnology Industry Association",,,,
"American Coatings Association",,,,
"Adhesive and Sealant Council",,,,
"American Cleaning Institute",,,,
"Consumer Specialty Products Association",,,,
"Personal Care Products Council",,,,
"National Association of Printing Ink Manufacturers",,,,
"Institute of Makers of Explosives",,,,
"International Imaging Industry Association",,,,
"Polyethylene Retail Carrier Bag Committee",,,,
"Flexible Packaging Association",,,,
"Plastics Pipe Institute",,,,
"Plastic Pipe and Fittings Association",,,,
"Polyurethane Foam Association",,,,
"National Association for PET Container Resources",,,,
"Rubber Manufacturers Association",,,,
"Association of Rubber Products Manufacturers",,,,
"National Association of Hose and Accessories Distribution",,,,
"Tire Industry Association",,,,
"National Lime Association",,,,
"American Association of Ceramic Component Manufacturers",,,,
"Glass Association of North America ",,,,
"National Glass Association",,,,
"Insulating Glass Manufacutrers Alliance",,,,
"Portland Cement Association",,,,
"Slag Cement Association",,,,
"American Concrete Institute",,,,
"National Ready Mixed Concrete Association",,,,
"National Concrete Masonry Institute ",,,,
"National Precast Concrete Association",,,,
"Gypsum Association",,,,
"Unified Abrasive Manufacturers Association",,,,
"Coated Abrasives Fabricators Association ",,,,
"Porcelain Enamel Institute",,,,
"Tile Council of North America ",,,,
"Brick Industry Association",,,,
"Steel Manufacturers Association",,,,
"American Iron and Steel Institute",,,,
"Specialty Steel Industry of North America",,,,
"American Institute for International Steel",,,,
"Steel Tube Institute of North America",,,,
"National Corrugated Steel Pipe Association",,,,
"Committee on Pipe and Tube Imports",,,,
"Cold Finished Steel Bar Institute",,,,
"American Wire Producers Association",,,,
"Aluminum Association",,,,
"Aluminum Extruders Council",,,,
"International Copper Association",,,,
"Copper & Brass Fabricators Council",,,,
"American Tin Trade Association ",,,,
"International Zinc Association",,,,
"Silver Institute",,,,
"Minor Metals Trade Association",,,,
"International Magnesium Association",,,,
"International Precious Metals Institute ",,,,
"Forging Industry Association",,,,
"American Foundry Society",,,,
"Steel Founders Society of America",,,,
"Municipal Castings Fair Trade Council",,,,
"Non-Ferrous Founders' Society ",,,,
"Precision Metalforming Association",,,,
"National Tooling and Machining Association",,,,
"Powder Metallurgy Parts Association",,,,
"Metal Powder Industries Federation",,,,
"Closure and Container Manufacturers Association",,,,
"American Edged Products Manufacturers Association",,,,
"American Knife and Tool Institute",,,,
"The Hand Tools Institute",,,,
"American Hardware Manufacturers Association",,,,
"Metal Building Manufacturers Association",,,,
"Metal Construction Association",,,,
"Truss Plate Institute",,,,
"Steel Tank Institute and Steel Plate Fabricators Association",,,,
"Steel Door Institute",,,,
"Steel Window Institute",,,,
"National Association of Architectural Metal Manufacturers",,,,
"Pressure Vessel Manufacturers Association",,,,
"American Boiler Manufacturers Association",,,,
"Can Manufacturers' Institute",,,,
"International Staple, Nail and Tool Association",,,,
"Spring Manufacturers Institute",,,,
"Wire Fabricators Association",,,,
"Precision Machined Products Association",,,,
"Industrial Fasteners Institute",,,,
"Valve Manufacturers Association of America",,,,
"Plumbing Manufacturers Institute",,,,
"American Bearing Manufacturers Association",,,,
"Sporting Arms and Ammunitions Manufacturers Institute",,,,
"Association of Equipment Manufacturers","Favor","BCUSCAT",,
"Farm Equipment Manufacturers Association",,,,
"Outdoor Power Equipment Institute","Favor","BCUSCAT",,
"Petroleum Equipment Suppliers Association",,,,
"Food Processing Suppliers Association",,,,
"Semiconductor Industry Association","Favor","SIAA",,
"Semiconductor Equipment and Materials International",,,,
"Wood Machinery Manufacturers of America",,,,
"Association of Suppliers to the Paper Industry",,,,
"NPES - The Association for Suppliers of Printing, Publishing and Converting Technologies","Favor","BCUSCAT",,
"American Textile Machinery Association",,,,
"American Precision Optics Manufacturers Association",,,,
"Institute of Clean Air Companies",,,,
"Filter Manufacturers Council",,,,
"Air Movement and Control Association",,,,
"Industrial Heating Equipment Association",,,,
"Air-conditioning Heating and Refrigeration Institute",,,,
"American Mold Builders Association",,,,
"Association of Manufacturing Technology",,,,
"Michigan Tooling Industry",,,,
"Rochester Tooling and Machining Association",,,,
"Tooling Manufacturing and Technologies Association",,,,
"The Association of Manufacturers of Power Generating Systems",,,,
"Gas Turbine Association",,,,
"American Gear Manufacturers Association",,,,
"Motor Equipment Manufacturers Association","Favor","BCUSCAT",,
"Mechanical Power Transmission Association",,,,
"Power Transmission Distributors Association",,,,
"American Chain Association",,,,
"Engine Manufacturers Association",,,,
"Marine Engine Manufacturers Association",,,,
"Hydraulic Institute",,,,
"Sump and Sewage Pump Manufacturers Association",,,,
"Submersible Wastewater Pump Association",,,,
"Compressed Air and Gas Institute",,,,
"Petroleum Equipment Institute",,,,
"National Elevator Industry, Inc.",,,,
"Material Handling Industry of America",,,,
"Conveyor Equipment Manufacturers Association",,,,
"Industrial Truck Association",,,,
"Power Tool Institute",,,,
"Resistance Welding Manufacturing Alliance",,,,
"Packaging Machinery Manufacturers Institute",,,,
"National Fluid Power Association",,,,
"FPDA Motion and Control Network",,,,
"Scale Manufacturers Association",,,,
"Information Technology Industry Council","Favor","BCUSCAT","USTR1",
"TechAmerica","Favor","BCUSCAT",,
"Computer and Communications Industry Association","Favor","BCUSCAT",,
"Automotive Aftermarket Industry Association",,,,
"National Marine Manufacturers Association",,,,
"Retail Solution Providers Association",,,,
"ATM Industry Association",,,,
"Consumer Electronics Association","Favor","BCUSCAT",,
"Telecommunications Industry Association","Favor","BCUSCAT","TIA",
"IPC?Association Connecting Electronics Industries",,,,
"Electronic Components Industries Association","Favor","BCUSCAT",,
"Power Sources Manufacturers Association",,,,
"Medical Device Manufacturers Association",,,,
"Advanced Medical Technology Association","Favor","BCUSCAT",,
"Medical Equipment and Technology Association",,,,
"Ultrasonic Industry Association",,,,
"Aerospace Industries Association",,,,
"General Aviation Manufacturers Association",,,,
"ISA - Instrumentation, Systems, and Automation Society / Automation Federation",,,,
"National Electrical Manufacturers Association","Favor","BCUSCAT","NEMA","CMAC2"
"Fluid Controls Institute",,,,
"Analytical and Life Science Systems Association",,,,
"Food Industry Processors Association",,,,
"International Irradiation Association",,,,
"American Watchmakers-Clockmakers Institute",,,,
"Content Delivery and Storage Association/ Media and Entertainment Services Alliance",,,,
"American Lighting Association",,,,
"Association of Home Appliance Manufacturers",,,,
"Gas Appliance Manufacturers Association",,,,
"The Transformer Association",,,,
"Electrical Manufacturing and Coil Winding Association",,,,
"Relay and Switch Industry Association",,,,
"Electricity Storage Association",,,,
"National Alliance for Advanced Technology Batteries",,,,
"Battery Council International",,,,
"Independent Battery Manufacturers Association",,,,
"Portable Rechargeable Battery Association",,,,
"Measurement, Control & Automation Association ",,,,
"American Automotive Policy Council","Favor","BCUSCAT",,
"Alliance of Automobile Manufacturers",,,,
"Truck Manufacturers Association",,,,
"NTEA,?the?Association for the Work Truck Industry",,,,
"Truck Trailer Manufacturers Association",,,,
"Recreation Vehicle Industry Association",,,,
"The National Association of Trailer Manufacturer",,,,
"Motor and Equipment Manufacturers Association",,,,
"National Engine Parts Manufacturers Association",,,,
"Specialty Equipment Market Association",,,,
"Railway Supply Institute / American Railway Car Institute",,,,
"Railway Systems Suppliers, Inc.",,,,
"Railway Engineering-Maintenance Suppliers Association, Inc.",,,,
"Aviation Distributors and Manufacturers Association",,,,
"Modification and Replacement Parts Association ",,,,
"Shipbuilders Council of America",,,,
"American Shipbuilding Association",,,,
"Motorcycle Industry Council",,,,
"National Defense Industrial Association",,,,
"Kitchen?Cabinet?Manufactures?Association ",,,,
"American Furniture Manufacturers Committee for Legal Trade",,,,
"American Home Furnishings Alliance",,,,
"National Home Furnishings Association",,,,
"International Sleep Products Association",,,,
"Window Covering Manufacturers Association",,,,
"Pharmaceutical Research Manufacturers of America","Favor","BCUSCAT","CMAC2","USITC1"
"Hearing Industries Association",,,,
"Plastic Loose Fill Council",,,,
"Jewelers of America",,,,
"The Silver Institute",,,,
"National Sporting Goods Association",,,,
"Sport and Fitness Industry Association/Sporting Goods Manucturers Association",,,,
"Toy Industry Association",,,,
"National Office Products Alliance",,,,
"International Sign Association",,,,
"Gasket Fabricators Association",,,,
"Fluid Sealing Association",,,,
"Cleaning Equipment Trade Association",,,,
"Casket and Funeral Supply Association of North America",,,,
"US Grains Council","Favor","BCUSCAT","AGF1",
"Wheat Export Trade Education Committee","Favor","BCUSCAT","WHT","AGF1/CMAC2"
"Hawaii Macadamia Nut Association",,,,
"Chocolate Manufacturers Association",,,,
"Association of Food Industries ",,,,
"International Seed Federation (ISF) ",,,,
"North American Export Grain Association ","Favor","BCUSCAT","AGF1","CMAC2"
"WineAmerica ",,,,
"Sewn Products Equipment and Suppliers of the Americas",,,,
"Salt Institute ","Favor","BCUSCAT",,
"Animal Health Institute","Favor","AGF1",,
"California Date Commission",,,,
"Dairylea Cooperative",,,,
"Idaho Barley Commission",,,,
"Idaho Grain Producers Association",,,,
"Kansas Association of Wheat Growers",,,,
"Kentucky Small Grain Growers Association",,,,
"Montana Grain Growers Association",,,,
"National Renderers Association","Favor","AGF1",,
"North Dakota Grain Growers Association",,,,
"Oklahoma Wheat Growers",,,,
"Texas Wheat Producers Association",,,,
"United Producers, Inc. ",,,,
"JEDEC Solid State Technology Association",,,,
"Oregon Potato Commission",,,,
"PMMI The Association for Packaging and Processing Technologies",,,,
"Oregon Livestock Producers Association",,,,
"California Raisin Marketing Board",,,,
"California Seed Association",,,,
"Georgia Poultry Federation",,,,
"Grain and Feed Association of Illinois",,,,
"Minnesota Grain and Feed Association",,,,
"Mississippi Poultry Association",,,,
"Nebraska Grain and Feed Association",,,,
"Oklahoma Grain and Feed Association",,,,
"South Carolina Poultry Federation",,,,
"Texas Grain & Feed Association ",,,,
"Texas Poultry Federation ",,,,
"The Poultry Federation (Arkansas, Missouri, Oklahoma) ",,,,
"Maryland And Virginia Milk Producers Cooperative Association, Inc. ",,,,
"Michigan Milk Producers Association ",,,,
"Western United Dairymen",,,,
"Washington Mint Growers Association",,,,
"United Dairymen of Arizona",,,,
"Montana Stockgrowers Association",,,,
"Automotive Trade Policy Council",,,,
"Dakota Resource Council",,,,
"North Dakota Farmers Union",,,,
"California Canning Peach Association",,,,
"Family Dairies USA",,,,
"Olive Growers Council of California",,,,
"California Olive Association",,,,
"North Dakota Corn Growers","Oppose","NDCGA",,
"Northwest Horticultural Association","Favor","CMAC2","AGF1",
"The American Yarn Spinners Association","Oppose","USITC1",,
"Western Pistachio Association",,,,
"California Cling Peach Board",,,,
"North American Association of Food Equipment Manufacturers",,,,
"The Vision Council",,,,
"American Watch Association","FIND OUT",,,
"US Cattleman's Association",,,,
"American Sugar Cane League",,,,
"California Rice Commission",,,,
"American Sugarbeet Growers Association",,,,
"Broom Manufacturers of the United States",,,,
"American Pipe Fittings Association",,,,
"American Textile Manufacturers Institute",,,,
"California Avocado Commission",,,,
"Footwear Industries of America",,,,
"Nonferrous Metals Producers Committee",,,,
"Work Glove Manufacturers Assoc.",,,,
"American Peanut Growers Group",,,,
"Texas Pecan Growers Association",,,,
"Gulf Citrus Growers Association ",,,,
"Southeastern Peanut Association",,,,
"Meat Industry Trade Policy Council",,,,
"Rio Grande Valley Sugar Growers",,,,
"Hawaiian Sugar Planters Association",,,,
"Sugar Cane Growers Cooperative of Florida",,,,
"Glass Packaging Institute",,,,
"Independent Zinc Alloyers Association",,,,
"West Indies Rum and Spirits Producers Association",,,,
"National Knitwear & Sportswear Association",,,,
"US Cane Sugar Refiners Association",,,,
"Texas Vegetable Association",,,,
"Cigar Association of America",,,,
"Texas Citrus Mutual",,,,
"Virginia-Carolina Peanut Association",,,,
"Southwestern Peanut Shellers Association",,,,
"American Architectural Manufacturers Association",,,,
"American Hardboard Association",,,,
"Cedar Shake & Shingle Bureau",,,,
"Composite Can & Tube Institute",,,,
"Knitted Textile Association ",,,,
"National Association of Band Instrument Manufacturers ",,,,
"National Grain Trade Council",,,,
"National Hardwood Lumber Association",,,,
"National Particleboard Association",,,,
"New Mexico Wine Growers Assoc. ",,,,
"Northeastern Loggers Association ",,,,
"Polyisocyanurate Insulation Manufacturers Association ",,,,
"Sorptive Minerals Institute ",,,,
"Walnut Council",,,,
"Waterbed Mfrs. Assoc. ",,,,
"Western Red Cedar Lumber Association ",,,,
"American Oat Association",,,,
"California Rice Industry Association",,,,
"International Apple Institute",,,,
"Milk Industry Foundation",,,,
"Rice Growers Association of California",,,,
"National Asparagus Commission",,,,
"National Association for Surface Finishing",,,,
"National Candle Association",,,,
"Nickel Institute",,,,
"California Pork Producers Association",,,,
"New York Pork Producers Co-op. Inc",,,,
"South Dakota Dairy Producers",,,,
"Utah Pork Producers",,,,
"American Composites Manufacturers Association",,,,
"Colorado Livestock Association",,,,
"Colorado Pork Producers Council",,,,
"Arkansas Soybean Association",,,,
"Livestock Exporters Association of the USA",,,,
"Corn Producers Association of Texas",,,,
"Florida Cattlemen's Association",,,,
"Florida Forestry Association",,,,
"Grain and Feed Association of Illinois",,,,
"Hawaii Cattlemen's Council, Inc.",,,,
"Idaho Cattle Association",,,,
"Illinois Beef Association",,,,
"Illinois Corn Growers Association",,,,
"Illinois Pork Producers Association",,,,
"Illinois Soybean Growers",,,,
"Indiana Beef Cattle Association",,,,
"Indiana Corn Growers Association",,,,
"Indiana Soybean Alliance",,,,
"Iowa Cattlemen's Association",,,,
"Iowa Corn Growers Association",,,,
"Iowa Pork Producers Association",,,,
"Iowa Soybean Association",,,,
"Kansas Corn Growers Association",,,,
"Kansas Grain and Feed Association",,,,
"Kansas Livestock Association",,,,
"Kansas Pork Association",,,,
"Kansas Soybean Association",,,,
"Kentucky Forest Industries Association",,,,
"Kentucky Paint Council",,,,
"Kentucky Pork Producers Association",,,,
"Louisiana Cattlemen's Association",,,,
"Louisiana Forestry Association",,,,
"Maryland & Virginia Milk Producers Cooperative",,,,
"Michigan Cattlemen's Association",,,,
"Michigan Pork Producers Association",,,,
"Minnesota Corn Growers",,,,
"Minnesota Grain & Feed Association",,,,
"Minnesota Pork Producers Association",,,,
"Mississippi Poultry Association",,,,
"Missouri Cattlemen's Association",,,,
"Missouri Corn Growers Association",,,,
"Missouri Pork Association",,,,
"Missouri Soybean Association",,,,
"Montana Pork Producers Council",,,,
"Nebraska Cattlemen's Association",,,,
"Nebraska Corn Board",,,,
"Nebraska Pork Producers Association",,,,
"New York Beef Producer's Association",,,,
"North Carolina Pork Council",,,,
"North Dakota Corn Growers",,,,
"Ohio Cattlemen's Association",,,,
"Ohio Corn & Wheat Growers Association",,,,
"Ohio Pork Council",,,,
"Oklahoma Cattlemen's Association",,,,
"Oklahoma Pork Council",,,,
"Oregon Cattlemen's Association",,,,
"Oregon Dairy Farmers Association",,,,
"Oregon Forest Industries Council",,,,
"South Carolina Cattlemen's Association",,,,
"South Dakota Grain & Feed Association",,,,
"Tennessee Cattlemen's Association",,,,
"Tennessee Pork Producers Association",,,,
"Texas Forestry Association",,,,
"Texas Pork Producers Association",,,,
"The Missouri Dairy Association",,,,
"Virginia Cattlemen's Association",,,,
"Washington Cattle Feeders Association",,,,
"Wisconsin Corn Growers Association",,,,
"Wisconsin Pork Producers Association",,,,
"Juvenile Products Manufacturers Association",,,,
"Midwest Dairy Coalition",,,,
"American Shrimp Processors Association",,,,
"Select Milk Producers",,,,
"Cranberry Marketing Committee",,,,
"Medical Imaging and Technology Alliance",,,,
"California Cherries",,,,
"Water & Wastewater Equipment Manufacturers Association Inc",,,,
"Plains Cotton Cooperative Association",,,,
"True Source Honey",,,,
"Association of Electrical and Medical Imaging Equipment Manufacturers",,,,
